Site name,Site code,Date ,Date (formatted),Month,Year,Season,Lattitude,Longitude,Time,T-C,DO mgO2/l,Sal ppt,pH,Turbidity NTU,Conductivity uS/cm,TDS mg/l,NO3-N mgN/l,NO2-N mgN/l,NH4-N mgN/l,Ntot mgN/l,SRP - PO4-P mgP/l,TSP - PO4-P mgP/l,Ptot mgP/l,SiO2 mgSiO2/l,SiO2 mgSi/l,Alkalinity (mol/L),Alkalinity (umol/L),Na(mg/l),Mg (mg/l),K (mg/l),Ca (mg/l),Cl-(mg/l),SO4 (mg/l),Fucoxanthin nmol/L,Violaxanthin nmol/L,Diadinoxanthin nmol/L,Diatoxanthin nmol/L,Lutein nmol/L,Zeaxanthin nmol/L,Canthaxanthin nmol/L,Chl a nmol/L,Chl a'1 nmol/L,Chl a'2 nmol/L,
Phung dam,D1,07/02/2018,07/02/2018,2,2018,DRY,21.0752,105.6451,8h05,15.28,8.41,0.25,7.58,20.1,490.3,0.3143,2.133,0.548,0.081,3.15,0.014,0.038,0.15,10.436,4.87,4.7,4700,10.2,17.76,3.647,64.8,17.75,6.142,,,,,,,,,,
Phung dam,D1,07/03/2018,07/03/2018,3,2018,DRY,21.0752,105.6451,,25.33,4.25,0.2,7.72,28,403,0.2578,1.017,0.321,0.796,2.45,0.265,0.302,0.521,9.675,4.515,2.9,2900,9.4,11.52,5.71,44.8,17.75,11.564,,,,,,,,,,
Phung dam,D1,05/04/2018,05/04/2018,4,2018,DRY,21.0752,105.6451,8h00,25.3,4.17,0.14,7.23,14,294,0.1889,0.264,0.111,0.664,1.52,0.164,0.172,0.233,9.24,4.312,2.7,2700,9.666,7.68,5.314,35.2,14.2,8.953,,,,,,,,,,
Phung dam,D1,15/05/2018,15/05/2018,5,2018,WET,21.0752,105.6451,8h00,30.08,4.77,0.14,7.6,34.5,295.2,0.1887,0.39,0.249,1.344,2.62,0.147,0.18,0.355,8.651,4.037,2.2,2200,8.739,7.2,7.009,34.4,17.75,11.138,8.518,0.617,2.164,0,4.342,0,0.742,28.723,6.749,1.908
Phung dam,D1,06/06/2018,06/06/2018,6,2018,WET,21.0752,105.6451,6h50,30.84,4.58,0.14,7.35,28.6,295.7,0.1888,0.094,0.083,0.841,1.48,0.014,0.014,0.215,9.734,4.543,2.5,2500,8.63,11.04,5.782,32.8,17.75,8.019,11.477,1.451,0,0,8.342,0,0.374,2.38,28.924,0.967
Phung dam,D1,11/07/2018,11/07/2018,7,2018,WET,21.0752,105.6451,7h45,27.94,5.27,0.07,7.32,45.4,164.7,0.1053,0.305,0.007,0.607,1.42,0.014,0.014,0.1,9.687,4.521,1.65,1650,4,5.28,1.2,25.6,7.1,10.777,0.346,0.054,0,0.06,0.683,0,0,2.105,0.29,0.226
Phung dam,D1,08/08/2018,08/08/2018,8,2018,WET,21.0752,105.6451,8h00,29.78,2.85,0.1,6.91,27.5,222.1,0.1423,0.223,0.084,0.401,1.36,0.077,0.106,0.211,10.636,4.963,2.05,2050,4.093,6.24,5.647,28.8,12.425,8.577,3.486,0.807,4.993,0,5.488,0,0.316,39.509,5.42,3.644
Phung dam,D1,06/09/2018,06/09/2018,9,2018,WET,21.0752,105.6451,8h00,31.59,4.38,0.1,6.76,30.2,224.1,0.1433,0.242,0.106,0.394,1.28,0.014,0.062,0.219,10.668,4.978,2.05,2050,6.447,7.2,5.59,29.6,10.65,7.339,4.174,1.38,5.598,0,7.97,0,0.319,44.799,6.083,3.842
Phung dam,D1,11/10/2018,11/10/2018,10,2018,DRY,21.0752,105.6451,7h50,26.7,1.26,0.19,6.35,21.2,387.8,0.2475,0.41,0.102,1.044,1.95,0.014,0.014,0.129,16.73,7.807,3.55,3550,8.705,12.48,4.807,50.4,12.425,6.659,0.915,0.174,0.682,0.118,0.627,0.976,0.17,5.588,1.159,0.84
Phung dam,D1,05/11/2018,05/11/2018,11,2018,DRY,21.0752,105.6451,8h00,26.2,1.05,0.18,6.71,13.9,358.7,0.2295,0.853,0.097,0.907,2.48,0.014,0.06,0.112,15.65,7.303,3.3,3300,7.472,11.52,3.978,48.8,14.2,7.125,0.722,0.126,0,0.128,0.489,0.489,0.182,7.014,1.162,1.444
Phung dam,D1,11/12/2018,11/12/2018,12,2018,DRY,21.0752,105.6451,7h15,21.2,1.34,0.23,6.44,12,466.5,0.2988,0.868,0.2,0.552,2.24,0.014,0.038,0.083,21.122,9.857,4.6,4600,7.917,17.28,3.253,62.4,17.75,5.755,0.482,0.041,0,0.028,0.242,0.198,0,1.654,1.188,0.452
